Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
1/1/2009,2009,1,1,†,-1.4,,-6.2,,-3.8,,21.8,,0,,0,,,M,2.7,,43,,,,<31,
1/2/2009,2009,1,2,†,0.9,,-15.9,,-7.5,,25.5,,0,,,M,,M,4.1,,43,,,,<31,
1/3/2009,2009,1,3,†,-6.8,,-16.7,,-11.8,,29.8,,0,,0,,,M,0.6,,40,,,,<31,
1/4/2009,2009,1,4,†,-1.9,,-8.3,,-5.1,,23.1,,0,,0,,,M,14.2,,41,,,,<31,
1/5/2009,2009,1,5,†,0.4,,-3.8,,-1.7,,19.7,,0,,,M,,M,4.8,,62,,,,<31,
1/6/2009,2009,1,6,†,0.5,,-0.1,,0.2,,17.8,,0,,0,,,M,15.2,,54,,,,<31,
1/7/2009,2009,1,7,†,3.9,,0.1,,2,,16,,0,,,M,,M,29.2,,62,,,,<31,
1/8/2009,2009,1,8,†,4.3,,0.6,,2.5,,15.5,,0,,,M,,M,5.8,,44,,,,<31,
1/9/2009,2009,1,9,†,1.1,,-1.1,,0,,18,,0,,0,,,M,6.2,,36,,16,,39,
1/10/2009,2009,1,10,†,0.5,,-1,,-0.3,,18.3,,0,,0,,,M,8.7,,43,,,,<31,
1/11/2009,2009,1,11,†,2.3,,-0.4,,1,,17,,0,,,M,,M,4.2,,48,,,,<31,
1/12/2009,2009,1,12,†,3.6,,0.4,,2,,16,,0,,,M,,M,0,,45,,,,<31,
1/13/2009,2009,1,13,†,3.9,,-0.7,,1.6,,16.4,,0,,,M,,M,0,,35,,,,<31,
1/14/2009,2009,1,14,†,3,,-2.9,,0.1,,17.9,,0,,,M,,M,0,,33,,,,<31,
1/15/2009,2009,1,15,†,3.7,,-3.4,,0.2,,17.8,,0,,,M,,M,0,,33,,,,<31,
1/16/2009,2009,1,16,†,2,,-4.2,,-1.1,,19.1,,0,,,M,,M,0,,33,,,,<31,
1/17/2009,2009,1,17,†,4.3,,-5.7,,-0.7,,18.7,,0,,,M,,M,0,,33,,,,<31,
1/18/2009,2009,1,18,†,2.9,,-5.9,,-1.5,,19.5,,0,,,M,,M,0,,33,,,,<31,
1/19/2009,2009,1,19,†,2.6,,-7.4,,-2.4,,20.4,,0,,,M,,M,0,,33,,,,<31,
1/20/2009,2009,1,20,†,2.2,,-8.3,,-3.1,,21.1,,0,,,M,,M,0,,32,,,,<31,
1/21/2009,2009,1,21,†,-0.3,,-10.1,,-5.2,,23.2,,0,,,M,,M,0,,33,,,,<31,
1/22/2009,2009,1,22,†,-1.6,,-11.1,,-6.4,,24.4,,0,,,M,,M,0,,33,,,,<31,
1/23/2009,2009,1,23,†,-1.2,,-10.5,,-5.9,,23.9,,0,,,M,,M,0,,33,,,,<31,
1/24/2009,2009,1,24,†,-6.3,,-10.7,,-8.5,,26.5,,0,,,M,,M,0,,33,,3,,32,
1/25/2009,2009,1,25,†,-4,,-13.8,,-8.9,,26.9,,0,,,M,,M,0,,34,,,,<31,
1/26/2009,2009,1,26,†,-4.9,,-17.5,,-11.2,,29.2,,0,,,M,,M,0,,33,,,,<31,
1/27/2009,2009,1,27,†,-2,,-5.8,,-3.9,,21.9,,0,,0,,,M,4,,34,,,,<31,
1/28/2009,2009,1,28,†,0.9,,-3.3,,-1.2,,19.2,,0,,,M,,M,,M,38,,,,<31,
1/29/2009,2009,1,29,†,2.1,,-0.4,,0.9,,17.1,,0,,,M,,M,,M,39,,,,<31,
1/30/2009,2009,1,30,†,3,,-1,,1,,17,,0,,,M,,M,2.6,,38,,,,<31,
